Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,Predicted Generation (MW),motion_speed_kmh,Actual Generation (MW)
71,2026-07-21 17:30,140.79,181.99,37.51,42.94,202,17,1,1050,7,79.54,49.44,1,-1,,167,,109.12,204.84,145.5,3.5,154.52,21.33,1.13,55.97,14.86,112.5,355.44,157.0,3.35,118.89,201.15,143.01,3.24,0.649,3.83,
72,2026-07-21 17:45,140.79,181.99,37.51,42.94,202,17,1,1065,7,79.54,49.44,1,-1,,167,,109.12,204.84,145.5,3.5,154.52,21.33,1.13,55.97,11.59,112.5,355.44,157.0,3.35,118.89,201.15,143.01,3.24,0.508,3.83,
73,2026-07-21 18:00,140.79,181.99,37.51,42.94,202,18,1,1080,7,79.54,49.44,1,-1,,167,,109.12,204.84,145.5,3.5,154.52,21.33,1.13,55.97,8.35,112.5,355.44,157.0,3.35,118.89,201.15,143.01,3.24,0.367,3.83,
74,2026-07-21 18:15,125.16,181.51,28.1,3.82,202,18,1,1095,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,5.13,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.221,3.83,
75,2026-07-21 18:30,125.16,181.51,28.1,3.82,202,18,1,1110,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,1.94,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.084,3.83,
76,2026-07-21 18:45,125.16,181.51,28.1,3.82,202,18,0,1125,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,-1.21,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.0,3.83,
77,2026-07-21 19:00,125.16,181.51,28.1,3.82,202,19,0,1140,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,-4.32,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.0,3.83,
78,2026-07-21 19:15,125.16,181.51,28.1,3.82,202,19,0,1155,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,-7.4,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.0,3.83,
79,2026-07-21 19:30,125.16,181.51,28.1,3.82,202,19,0,1170,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,-10.43,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.0,,
80,2026-07-21 19:45,125.16,181.51,28.1,3.82,202,19,0,1185,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,-13.4,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.0,,
81,2026-07-21 20:00,125.16,181.51,28.1,3.82,202,20,0,1200,7,98.41,92.01,1,-1,0.342,67,0.0025,108.86,205.3,140.61,3.41,159.36,27.73,0.76,83.04,-16.32,103.23,349.48,173.7,2.75,119.24,200.87,144.58,3.04,0.0,,
87,2026-07-21 21:30,168.6,133.86,85.54,46.55,202,21,0,1290,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-32.07,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
88,2026-07-21 21:45,168.6,133.86,85.54,46.55,202,21,0,1305,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-34.29,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
89,2026-07-21 22:00,168.6,133.86,85.54,46.55,202,22,0,1320,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-36.36,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
90,2026-07-21 22:15,168.6,133.86,85.54,46.55,202,22,0,1335,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-38.26,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
91,2026-07-21 22:30,168.6,133.86,85.54,46.55,202,22,0,1350,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-39.95,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
92,2026-07-21 22:45,168.6,133.86,85.54,46.55,202,22,0,1365,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-41.44,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
93,2026-07-21 23:00,168.6,133.86,85.54,46.55,202,23,0,1380,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-42.69,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
94,2026-07-21 23:15,168.6,133.86,85.54,46.55,202,23,0,1395,7,92.23,90.83,0,-1,0.099,67,0.0078,125.45,185.49,153.4,3.57,177.59,79.54,25.0,91.34,-43.68,111.45,0.0,0.0,2.63,109.21,207.57,150.23,2.81,0.0,,
7,2026-07-22 01:30,146.52,33.31,112.62,37.15,203,1,0,90,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-40.13,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
8,2026-07-22 01:45,146.52,33.31,112.62,37.15,203,1,0,105,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-38.43,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
9,2026-07-22 02:00,146.52,33.31,112.62,37.15,203,2,0,120,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-36.53,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
10,2026-07-22 02:15,146.52,33.31,112.62,37.15,203,2,0,135,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-34.45,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
11,2026-07-22 02:30,146.52,33.31,112.62,37.15,203,2,0,150,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-32.22,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
12,2026-07-22 02:45,146.52,33.31,112.62,37.15,203,2,0,165,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-29.85,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
13,2026-07-22 03:00,146.52,33.31,112.62,37.15,203,3,0,180,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-27.36,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
14,2026-07-22 03:15,146.52,33.31,112.62,37.15,203,3,0,195,7,98.07,28.12,1,-1,0.854,161,0.0056,126.92,25.14,148.57,5.87,190.55,79.44,19.87,97.33,-24.76,111.55,0.0,0.0,2.67,116.92,202.09,145.36,2.94,0.0,,
